L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30
228 45/45 07/07 41/41 46/46 12/12 43/45 08/13 03/03 19/19 20/22 19/30 38/38 22/22 16/18 33/33 02/02 07/07 40/40 17/34 12/12 14/14 42/42 29/29 18/18 40/40 48/48 46/46 50/50 11/11 42/42
229 45/45 10/10 46/46 04/48 11/46 25/29 24/24 26/26 05/14 34/34 46/46 25/41 10/10 27/27 22/22 32/45 32/32 40/40 43/43 17/22 10/14 09/09 29/29 06/06 32/32 49/49 46/46 19/19 21/30 18/18
230 45/45 10/10 05/46 04/08 11/11 25/25 25/36 03/26 05/14 22/34 46/46 25/25 10/28 27/27 22/22 32/45 32/32 40/40 33/33 17/22 14/14 09/09 29/45 06/06 32/32 49/49 46/46 19/19 11/30 18/18
231 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 04/20 19/19 38/38 34/34 16/18 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/19 40/40 18/48 34/34 50/50 11/11 18/42
232 34/34 10/10 05/05 04/48 42/46 29/29 36/36 26/48 05/14 34/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 28/49 06/46 17/19 21/21 18/23
233 34/34 10/10 46/46 48/48 46/46 25/29 24/36 03/26 14/14 34/34 46/46 41/41 10/10 25/25 22/22 32/45 08/32 08/08 17/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/37
234 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 04/20 19/19 38/38 22/24 16/18 33/33 41/41 07/07 40/40 17/17 12/27 14/14 42/42 29/45 09/19 40/40 48/48 34/34 50/50 11/11 18/42
235 45/45 07/07 37/41 46/46 11/12 43/45 08/25 03/03 14/19 20/22 19/30 38/38 22/22 18/36 33/33 32/32 07/07 40/40 17/34 27/27 10/14 42/42 29/29 09/18 40/40 48/48 34/46 29/50 11/11 42/42
236 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 14/19 20/20 19/19 38/38 34/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 09/18 40/40 48/48 34/34 50/50 11/11 07/42
237 45/45 10/10 22/46 48/48 14/46 25/25 36/36 26/26 05/05 34/34 46/46 25/25 10/10 25/27 22/22 45/45 08/08 08/40 43/43 17/22 10/14 09/09 29/29 06/06 32/32 18/28 06/46 19/19 11/21 18/23
238 45/45 07/07 07/41 46/46 12/12 29/45 08/25 03/03 19/19 22/22 19/19 11/11 22/22 18/36 22/22 02/02 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 40/40 18/48 34/34 29/29 11/11 18/18
239 45/45 07/07 41/41 41/46 11/11 45/45 08/08 33/48 19/19 20/22 19/30 04/38 34/34 18/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 09/09 40/40 18/18 34/46 50/50 11/11 07/42
240 45/45 10/10 46/46 48/48 46/46 25/25 36/36 03/26 05/14 22/22 46/46 25/25 10/10 25/25 22/22 45/45 08/32 08/08 33/43 17/22 10/14 09/09 29/29 06/06 32/32 49/49 06/46 19/19 11/21 18/23
241 45/45 07/07 41/41 46/46 12/12 43/45 25/47 03/48 19/19 22/22 19/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 34/34 12/12 14/14 09/42 29/29 09/18 40/40 48/48 34/46 50/50 11/11 42/42
242 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 04/20 19/19 38/38 22/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 29/43 09/18 40/40 18/48 34/34 50/50 11/11 07/42
243 34/45 10/10 07/46 08/48 11/11 25/29 24/24 03/48 05/05 22/34 46/46 25/25 10/10 27/27 22/22 45/45 07/32 08/08 33/43 22/22 10/10 02/09 29/29 06/06 32/32 28/28 06/46 19/19 11/11 23/23
244 34/34 10/10 05/05 48/48 46/46 25/29 24/36 26/48 05/14 20/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/32 49/49 46/46 17/19 21/30 23/23
245 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/48 19/19 04/04 19/19 38/38 22/34 16/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/19 40/40 18/48 34/34 50/50 11/11 07/42
246 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/19 38/38 22/24 18/18 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 29/45 09/19 40/40 48/48 34/34 50/50 11/11 18/42
247 45/45 10/25 05/46 04/48 46/46 25/29 24/24 26/48 14/14 22/34 46/46 41/41 10/10 16/25 22/22 32/45 32/32 08/08 17/43 17/22 10/10 02/02 29/29 06/06 32/32 49/49 06/46 19/19 21/21 18/23
248 45/45 07/07 07/41 41/46 11/12 45/45 08/08 33/33 19/19 22/22 19/30 04/38 22/34 18/36 33/33 02/02 07/07 40/40 17/17 12/12 14/14 42/42 45/45 31/31 40/40 18/18 34/34 50/50 11/11 42/42
249 45/45 10/25 46/46 04/04 46/46 25/29 24/36 14/26 05/14 20/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 08/08 43/43 22/22 41/41 04/04 29/29 06/06 32/32 28/49 46/46 17/19 21/30 18/23
250 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/30 38/38 24/34 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 29/43 09/09 40/40 18/48 34/34 50/50 11/11 42/42
251 45/45 07/07 37/41 46/46 11/12 45/45 08/08 33/33 19/19 20/22 19/19 04/38 22/34 16/18 33/33 02/32 07/07 40/40 17/17 12/12 14/14 42/42 45/45 09/09 40/40 18/18 34/46 50/50 11/11 42/42
252 45/45 07/50 41/41 46/46 11/12 45/45 08/13 03/03 19/19 20/20 30/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 17/34 12/12 14/14 42/42 29/29 09/18 40/40 48/48 46/46 29/50 11/11 42/42
253 45/45 07/07 41/41 46/46 12/12 43/45 08/08 03/03 19/19 22/22 19/19 38/38 34/34 16/16 22/22 02/32 20/20 40/40 34/34 27/27 10/10 09/09 29/29 31/31 26/32 48/48 34/34 50/50 11/11 18/18
254 45/45 10/10 05/05 04/48 46/46 25/29 36/36 03/48 05/14 22/22 46/46 25/41 10/28 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/14 02/04 29/29 06/06 32/32 49/49 46/46 19/19 01/11 23/23
255 03/45 07/50 37/41 46/46 11/12 43/45 08/47 03/48 19/19 20/22 19/30 38/38 22/22 18/18 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 29/29 09/31 40/40 48/48 34/34 29/50 11/11 42/42
256 45/45 07/07 37/41 46/46 11/12 45/45 08/08 48/48 19/19 04/20 19/19 38/38 24/34 16/18 33/33 02/32 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/18 34/46 50/50 11/11 42/42
257 45/45 10/10 41/41 04/04 14/14 25/29 25/36 03/26 19/19 22/22 19/46 25/25 10/10 18/27 22/22 32/32 08/08 08/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/18 06/06 19/36 21/21 23/23
258 45/45 10/10 07/46 48/48 14/46 25/25 25/25 03/14 05/05 34/34 46/46 18/25 10/10 16/25 22/22 45/45 32/32 40/40 33/43 22/22 10/14 02/09 29/45 06/06 32/32 49/49 06/46 19/36 21/30 23/23
259 45/45 10/10 05/46 04/08 42/46 29/29 24/36 03/26 14/14 22/34 46/46 41/41 10/28 16/25 22/22 32/45 32/32 08/08 43/43 22/22 10/14 02/04 29/29 06/24 32/40 28/28 46/46 19/19 11/11 23/23
260 45/45 07/50 37/41 46/46 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 36/36 22/22 02/02 07/07 40/40 34/34 27/27 14/14 09/09 29/29 31/31 32/32 18/48 06/34 29/50 11/11 18/18
261 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/30 38/38 24/34 16/16 33/33 41/41 07/07 40/40 17/17 27/27 14/14 09/09 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
262 45/45 10/50 07/41 46/48 14/14 25/25 36/36 14/26 05/05 22/34 46/46 25/25 10/10 25/27 22/22 45/45 08/08 40/40 33/33 22/22 14/14 09/14 45/45 06/06 32/32 18/18 06/34 19/50 21/21 23/23
263 45/45 07/07 41/41 46/46 11/12 45/45 08/08 33/33 19/19 04/04 19/19 38/38 22/24 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 09/19 40/40 18/18 34/34 50/50 11/11 18/38
264 45/45 50/50 07/07 46/46 12/12 29/29 08/08 03/03 19/19 22/22 19/30 11/38 10/10 18/18 22/22 02/32 20/20 08/40 34/34 27/27 10/10 09/09 21/29 06/31 40/40 18/48 34/49 29/50 11/11 18/42
265 45/45 07/07 07/37 46/46 12/12 45/45 08/08 03/48 19/19 22/22 19/30 38/38 22/24 18/18 22/33 02/32 07/07 40/40 17/17 12/12 14/14 42/42 45/45 09/18 40/40 48/48 34/34 50/50 11/11 42/42
266 45/45 10/10 46/46 48/48 14/14 25/25 36/36 26/26 05/19 22/22 46/46 25/25 10/22 16/36 22/22 45/45 08/08 08/40 33/43 22/22 10/14 09/42 29/45 06/06 32/32 18/28 06/46 50/50 11/21 18/23
267 34/34 10/10 05/05 04/48 46/46 25/29 36/36 26/26 14/14 22/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
268 45/45 10/10 46/46 48/48 46/46 25/25 24/36 26/26 05/05 22/22 46/46 25/41 10/28 25/27 22/22 45/45 32/32 08/08 33/43 17/22 10/10 02/09 29/29 06/06 32/32 18/49 46/46 19/36 11/30 23/23
269 45/45 10/10 46/46 04/48 11/11 25/25 24/36 26/26 05/14 22/34 46/46 25/41 10/10 25/27 22/22 45/45 32/32 08/40 33/33 22/22 10/10 04/43 29/29 06/06 32/32 28/49 46/46 19/19 11/30 18/18
270 34/34 10/10 05/46 04/48 46/46 29/29 36/36 26/26 14/14 20/20 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 28/49 46/46 19/19 21/21 18/23
271 45/45 07/07 07/41 46/46 11/47 45/45 08/08 33/33 14/19 20/20 30/30 38/38 24/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 09/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
272 45/45 50/50 07/41 46/46 12/12 29/29 08/08 03/03 19/19 22/22 30/30 38/38 10/22 36/36 22/33 02/32 07/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 18/18 34/34 29/29 11/11 18/18
273 34/34 10/10 05/05 04/48 42/46 29/29 36/36 26/48 14/14 22/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 18/23
274 34/34 10/10 05/46 48/48 46/46 29/29 36/36 48/48 14/14 34/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 23/23
275 34/45 10/10 05/46 04/48 42/46 25/29 24/24 03/26 05/14 22/34 46/46 25/41 10/28 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 28/49 46/46 19/19 11/21 23/23
276 34/45 10/10 46/46 04/08 46/46 25/29 24/24 26/26 05/14 34/34 46/46 25/41 10/10 25/25 22/22 45/45 32/32 08/08 43/43 22/22 10/14 02/09 29/29 06/31 32/32 49/49 46/46 19/19 11/21 23/23
277 34/34 10/10 05/05 04/04 42/46 29/29 36/36 26/48 14/23 22/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/32 49/49 46/46 17/17 21/21 18/23
278 34/45 10/10 46/46 08/08 46/46 29/29 24/36 03/03 05/14 22/22 46/46 41/41 10/28 16/25 22/22 45/45 32/32 08/08 43/43 17/22 10/10 09/09 29/29 06/06 32/40 49/49 46/46 19/19 11/21 23/23
279 03/03 50/50 37/37 46/46 12/12 43/45 08/25 03/03 19/19 20/20 30/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 17/34 12/27 10/14 42/42 29/29 09/09 40/40 18/18 34/46 50/50 11/11 42/42
280 34/34 10/10 05/46 04/48 46/46 25/29 36/36 26/26 05/14 20/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 18/23
281 34/45 10/25 46/46 04/08 46/46 29/29 24/36 03/03 14/14 22/22 46/46 25/41 10/10 16/25 22/22 45/45 08/32 08/08 43/43 17/22 10/14 04/09 29/29 06/06 32/40 28/49 46/46 19/19 11/21 23/23
282 45/45 07/50 41/41 46/46 12/12 45/45 08/47 03/03 19/19 20/22 19/19 38/38 22/34 16/36 22/22 02/02 20/20 40/40 17/34 27/27 10/10 42/42 29/29 06/18 26/40 18/48 34/34 29/50 11/21 18/18
283 45/45 10/10 46/46 48/48 42/46 29/29 25/36 14/26 05/05 22/34 46/46 25/41 10/10 27/27 22/22 45/45 32/32 08/40 33/43 17/22 10/10 04/43 29/29 06/06 32/32 49/49 46/46 19/19 21/21 18/23
284 45/45 10/10 46/46 04/48 11/46 25/25 25/36 26/26 19/19 22/22 46/46 25/25 10/10 16/27 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/42 45/45 06/06 32/32 18/28 06/34 19/50 21/21 18/18
285 45/45 10/10 07/22 48/48 46/46 25/25 08/08 03/26 05/14 34/34 46/46 25/25 10/10 25/25 22/22 45/45 08/32 40/40 33/43 22/22 14/14 09/42 29/45 06/06 32/32 18/28 06/46 19/19 11/11 18/23
286 45/45 10/10 46/46 48/48 14/46 25/29 25/36 26/26 05/05 22/34 46/46 18/25 10/10 16/25 22/22 45/45 32/32 08/40 33/43 22/22 10/14 09/09 45/45 06/06 32/32 18/28 06/46 19/19 11/21 23/23
287 45/45 07/07 07/37 46/46 12/47 45/45 08/08 33/48 19/19 20/20 19/19 38/38 24/24 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/19 40/40 18/48 34/34 50/50 11/11 42/42
288 45/45 07/07 41/41 46/46 12/12 45/45 05/13 03/03 19/19 22/22 19/19 38/38 22/34 18/18 22/33 02/02 07/20 40/40 17/34 27/27 14/14 42/42 26/26 06/31 32/40 18/48 34/34 50/50 11/11 18/42
289 34/45 10/10 46/46 48/48 01/46 25/25 25/36 03/03 05/14 15/34 46/46 25/41 10/10 25/25 22/22 45/45 08/08 08/08 33/43 22/22 10/10 04/09 29/29 06/06 32/32 28/28 46/46 19/19 11/30 23/23
290 34/34 10/10 05/05 48/48 42/46 29/29 36/36 26/48 05/14 22/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
291 45/45 10/10 46/46 04/48 11/46 29/29 24/25 26/48 05/14 22/34 46/46 25/25 10/10 25/27 22/22 32/45 32/32 08/08 33/43 22/22 10/10 02/02 29/29 06/06 32/32 28/49 46/46 19/19 21/30 18/23
292 34/45 10/25 46/46 48/48 46/46 25/29 24/36 26/26 05/14 20/34 46/46 41/41 10/10 25/25 22/22 32/45 08/32 08/15 17/43 22/22 41/41 04/43 29/29 06/06 32/32 49/49 46/46 19/36 11/30 18/37
293 03/03 07/50 41/41 46/46 12/12 43/45 08/47 03/03 19/19 20/22 19/19 38/38 22/22 18/36 33/33 32/32 07/07 40/40 17/34 12/27 10/14 42/42 29/29 09/18 40/40 18/48 34/34 29/50 11/11 42/42
294 45/45 10/10 22/46 48/48 11/46 25/29 08/36 03/26 05/14 22/22 46/46 18/18 10/22 27/27 22/22 32/32 08/32 40/40 33/43 22/22 14/14 09/43 29/29 06/06 32/32 28/28 06/46 19/36 11/21 18/23
295 34/45 10/10 05/46 48/48 46/46 25/25 24/36 03/03 14/14 34/34 46/46 25/41 10/28 25/25 22/22 32/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/19 11/21 23/23
296 34/34 10/10 05/46 04/04 42/46 29/29 36/36 48/48 14/14 20/22 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/32 49/49 46/46 17/36 21/21 23/23
297 34/45 10/10 46/46 04/48 11/46 25/25 24/36 26/26 05/14 22/34 46/46 25/41 10/10 25/27 22/22 45/45 08/32 08/08 33/43 22/22 10/10 04/09 29/29 06/06 32/32 28/49 06/46 19/19 11/30 23/23
298 45/45 07/50 07/07 46/46 12/12 45/45 08/25 03/46 19/19 22/22 19/30 11/38 10/22 18/36 22/22 32/32 20/20 40/40 34/34 27/27 14/14 09/09 21/29 31/31 32/32 18/48 34/34 29/50 11/11 18/18
299 34/45 10/10 05/46 04/08 46/46 25/25 36/36 26/26 05/14 15/22 46/46 25/25 10/10 25/25 22/22 45/45 32/32 08/08 43/43 22/22 10/10 04/09 29/29 06/06 32/32 28/49 46/46 19/19 11/21 23/23
300 34/34 10/10 05/46 04/08 42/46 25/25 24/36 14/26 14/14 20/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 17/43 22/22 10/41 04/04 29/29 06/06 32/32 49/49 06/06 17/19 21/21 23/23
301 34/34 10/10 05/46 48/48 46/46 29/29 36/36 26/26 14/23 22/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/36 21/21 23/23
302 45/45 10/10 07/07 04/48 14/46 25/25 36/36 26/26 05/05 22/22 46/46 25/25 10/10 18/27 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/14 45/45 06/06 32/32 18/18 06/46 19/50 21/21 18/23
303 34/34 10/25 46/46 04/04 42/46 25/29 24/24 03/48 14/14 20/22 46/46 41/41 10/10 16/16 22/22 45/45 08/32 08/08 17/43 22/22 10/41 04/04 29/29 06/06 32/32 49/49 46/46 17/17 21/30 23/37
304 45/45 07/07 07/41 46/46 12/47 45/45 08/08 33/33 19/19 20/20 19/19 38/38 24/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
305 34/45 10/10 46/46 08/48 46/46 25/29 24/36 26/26 05/05 34/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 40/40 33/33 22/22 10/10 04/09 29/29 06/06 32/32 18/28 46/46 19/36 11/30 18/23
306 45/45 10/10 22/46 48/48 14/46 25/25 36/36 03/26 05/05 22/34 46/46 25/25 10/10 27/27 22/22 32/45 08/32 40/40 33/33 22/22 10/10 09/42 29/45 06/06 32/32 18/18 06/06 19/19 21/21 18/23
307 45/45 10/33 05/46 08/48 42/42 25/29 24/36 26/26 14/14 22/34 46/46 25/41 10/10 16/25 22/22 45/45 08/32 08/08 43/43 17/22 10/10 04/09 29/29 06/06 32/32 28/28 46/46 19/19 21/30 23/23
308 45/45 07/50 07/07 48/48 12/12 43/45 25/25 03/03 19/19 22/22 19/46 11/38 22/22 36/36 33/33 32/32 20/20 40/40 34/34 27/27 14/14 09/09 21/29 31/31 32/32 18/48 06/34 50/50 11/11 18/18
309 34/34 10/10 05/46 48/48 42/42 25/29 36/36 26/48 14/23 20/20 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/15 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/36 21/21 18/23
310 34/45 10/10 05/05 04/08 46/46 25/29 24/24 48/48 05/05 20/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/17 22/22 10/14 04/04 29/29 06/06 32/32 28/49 06/46 17/17 21/30 18/37
311 45/45 10/10 46/46 48/48 11/11 29/29 24/24 03/26 14/14 22/22 46/46 18/25 10/10 27/27 22/22 45/45 32/32 08/40 33/33 22/22 10/10 04/09 29/29 06/06 32/32 28/49 46/46 19/19 21/30 23/23
312 45/45 07/07 37/41 46/46 12/47 45/45 08/08 33/48 19/19 04/20 19/19 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/19 40/40 48/48 34/34 50/50 11/11 18/42
313 34/45 10/25 46/46 08/48 42/46 29/29 24/25 03/48 05/14 20/34 46/46 41/41 10/10 25/25 22/22 32/45 08/08 08/40 33/43 22/22 10/10 04/04 29/29 06/06 32/32 28/28 46/46 19/19 11/21 23/23
314 34/45 10/33 46/46 08/48 42/46 29/29 24/25 26/48 14/14 22/34 46/46 41/41 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/14 04/04 29/29 06/06 32/40 28/28 46/46 19/19 01/11 23/23
315 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/30 38/38 34/34 16/18 33/33 02/41 07/07 40/40 17/17 12/27 14/14 42/42 43/45 18/18 40/40 18/48 34/34 50/50 11/11 42/42
316 34/34 10/10 05/05 04/48 42/46 29/29 24/36 03/26 05/14 20/20 46/46 01/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 23/23
317 45/45 10/50 07/41 04/46 11/14 29/45 36/36 03/03 05/19 22/34 46/46 25/25 10/10 25/27 22/22 32/32 08/32 40/40 33/33 22/22 14/14 09/09 29/29 06/31 32/32 18/18 06/34 19/50 21/21 18/18
318 45/45 07/07 07/07 46/46 12/12 45/45 08/08 03/33 19/19 22/22 19/30 38/38 22/34 18/18 33/33 02/32 07/07 40/40 17/34 12/12 14/14 42/42 29/45 09/19 40/40 18/18 34/46 29/50 11/11 42/42
319 34/34 10/10 05/46 48/48 42/46 25/29 36/36 14/26 05/05 20/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/43 22/22 10/10 04/04 29/29 06/06 32/40 49/49 46/46 19/19 21/30 18/23
320 45/45 07/07 07/41 46/46 12/12 45/45 08/08 03/48 19/19 20/22 19/30 04/04 34/34 18/36 33/33 02/02 07/07 40/40 17/17 12/12 14/14 09/42 29/45 09/18 40/40 18/48 34/34 50/50 11/11 42/42
321 45/45 10/10 22/22 48/48 11/46 25/25 08/08 03/26 05/05 22/34 46/46 18/18 10/10 25/27 22/22 32/45 08/20 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 28/28 06/06 19/19 21/21 18/23
322 45/45 10/50 41/41 48/48 14/46 25/25 25/36 26/26 05/05 34/34 46/46 18/25 10/10 25/27 22/22 45/45 08/32 40/40 33/43 22/22 10/14 09/09 29/45 06/06 32/32 18/18 06/06 19/19 11/21 23/23
323 03/45 07/07 41/41 46/46 12/12 43/45 08/47 03/03 14/19 22/22 19/19 38/38 22/22 36/36 33/33 02/02 07/07 40/40 17/34 12/27 14/14 42/42 29/29 09/31 40/40 18/48 46/46 29/29 11/11 07/42
324 45/45 50/50 07/41 46/48 12/12 45/45 08/25 03/03 19/19 22/22 19/46 11/38 10/22 18/36 22/33 02/02 07/20 40/40 34/34 27/27 10/10 09/09 29/29 06/31 32/40 18/48 34/34 29/50 11/11 18/18
325 45/45 10/10 46/46 48/48 11/42 25/29 24/24 26/26 05/05 22/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 08/40 43/43 22/22 10/14 09/09 29/29 06/06 32/32 28/28 46/46 19/19 21/21 18/23
326 45/45 10/10 46/46 48/48 11/11 25/25 24/25 26/26 05/05 22/34 46/46 41/41 10/10 27/27 22/22 45/45 32/32 08/40 33/43 22/22 10/14 04/43 29/45 06/06 32/32 28/28 46/46 19/19 11/30 18/18
327 34/34 10/10 05/46 04/48 42/46 25/29 24/36 26/26 05/14 34/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
328 34/34 10/10 05/46 04/04 46/46 25/29 24/24 26/48 05/05 34/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/08 17/43 22/22 10/41 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 18/23
329 45/45 07/07 41/41 46/46 11/12 43/45 13/47 03/03 19/19 20/20 19/19 38/38 22/22 18/36 33/33 02/02 07/07 40/40 17/34 12/12 14/14 09/42 29/29 09/18 40/40 48/48 34/34 29/50 11/11 42/42
330 45/45 10/10 46/46 48/48 11/46 25/29 24/36 26/48 05/05 22/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 08/40 33/43 22/22 10/14 02/09 29/29 06/06 32/32 28/49 46/46 19/19 21/30 18/23
331 45/45 50/50 07/41 46/46 12/12 43/45 08/08 03/46 19/19 22/22 30/46 11/11 22/22 36/36 22/33 32/32 20/20 40/40 17/34 27/27 10/10 09/09 29/29 06/31 32/32 18/18 34/34 50/50 11/11 18/18
332 34/45 10/25 05/46 04/48 46/46 29/29 24/24 03/26 14/14 22/34 46/46 25/41 10/28 25/25 22/22 45/45 08/08 08/40 43/43 22/22 10/10 02/09 29/29 06/06 40/40 49/49 06/46 19/19 01/21 23/23
333 45/45 07/50 37/41 46/46 12/12 45/45 08/25 03/03 19/19 20/22 19/19 38/38 22/22 36/36 33/33 02/02 20/20 40/40 17/17 12/27 10/14 09/09 26/29 09/31 32/40 48/48 34/34 50/50 11/11 18/42
334 45/45 10/50 41/46 48/48 11/11 25/25 36/36 14/26 05/14 22/34 46/46 25/25 10/10 16/18 22/22 32/45 08/08 40/40 17/33 22/22 14/14 09/42 45/45 06/06 32/32 18/28 06/46 50/50 11/21 23/23
335 34/34 10/10 05/46 04/08 46/46 25/29 24/24 14/48 14/14 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/32 08/08 17/43 22/22 10/41 02/04 29/29 06/06 32/32 28/49 46/46 17/19 21/30 23/23
336 03/03 07/50 37/41 46/46 11/12 43/43 25/47 03/48 19/19 22/22 30/30 38/38 22/22 18/36 33/33 02/02 07/20 40/40 34/34 12/12 10/10 09/42 29/29 09/09 40/40 18/48 46/46 29/50 11/11 42/42
337 45/45 07/07 07/41 46/46 11/11 45/45 08/08 03/33 19/19 20/20 19/19 38/38 22/22 16/18 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 18/48 34/34 50/50 11/11 07/42
338 45/45 10/48 46/46 48/48 14/46 25/25 08/08 26/26 05/05 22/34 46/46 18/25 10/10 25/25 22/22 45/45 08/32 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 28/28 46/46 19/19 30/30 23/23
339 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/48 19/19 04/04 19/30 38/38 22/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 42/42 43/45 18/18 40/40 48/48 34/46 50/50 11/11 07/18
340 45/45 07/50 07/41 46/46 12/12 29/29 08/13 03/03 19/19 22/22 19/46 11/38 10/22 36/36 22/33 02/02 07/20 08/40 17/17 27/27 10/10 09/09 29/29 31/31 32/40 18/18 34/34 29/29 11/11 18/18
341 03/03 07/50 41/41 46/46 11/12 45/45 25/25 03/03 19/19 20/22 19/30 38/38 22/22 36/36 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 29/29 09/18 40/40 18/48 34/46 29/50 11/11 42/42
